1424106756.3348;43;1;6
1000.123;1;3;0.5
1001.123;1;3;0.5
1417962686.289;1;3;538426458
1417962686.289;30;1;1
1417962686.289;66;1;525
1417962746.562;1;3;538426487
1417962746.644;30;1;1
1417962806.644;1;3;538426526
1417962806.644;30;1;2
1417962866.742;1;3;538426568
1417962866.742;30;1;1
1417962926.817;1;3;538426606
1417962986.943;1;3;538426633
1417963047.061;1;3;538426666
1417963047.167;30;1;1
1417963047.167;66;1;525
1417963107.167;1;3;538426707
1417963107.167;30;1;2
1417963107.167;66;1;403
1417963167.261;1;3;538426748
1417963167.261;30;1;1
1417963227.512;1;3;538426771
1417963227.646;30;1;1
1417963287.646;1;3;538426799
1417963287.646;30;1;2
1417963287.74;66;1;403
1417963347.74;1;3;538426842
1417963347.74;30;1;1
1417963347.74;66;1;395.5
1417963407.928;1;3;538426883
1417963468.038;1;3;538426918
1417963468.155;30;1;1
1417963528.155;1;3;538426944
1417963528.155;30;1;2
1417963588.274;1;3;538426991
1417963588.404;30;1;2
1417963648.404;1;3;538427042
1417963648.404;30;1;1
1417963668.906;58;2;1
1417963708.552;1;3;538427081
1417963708.552;30;1;2
1417963768.66;1;3;538427113
1417963768.737;30;1;2
1417963828.737;1;3;538427138
1417963828.737;30;1;1
1417963888.843;1;3;538427180
1417963888.843;30;1;2
1417963888.909;58;2;0
1417963948.926;1;3;538427226
1417963949.023;30;1;2
1417964009.023;1;3;538427255
1417964009.023;30;1;1
1417964009.15;66;1;395.5
1417964069.15;1;3;538427285
1417964069.15;66;1;403.5
1417964129.236;1;3;538427327
1417964129.369;30;1;1
1417964189.369;1;3;538427368
1417964189.369;30;1;2
1417964249.518;1;3;538427402
1417964249.755;30;1;2
1417964309.755;1;3;538427432
1417964309.755;30;1;1
1417964369.851;1;3;538427490
1417964398.752;58;2;1
1417964429.948;1;3;538427541
1417964490.083;1;3;538427584
1417964550.164;1;3;538427619
1417964598.741;58;2;0
1417964610.282;1;3;538427645
1417964670.342;1;3;538427684
1417964670.478;30;1;1
1417964730.478;1;3;538427720
1417964730.478;30;1;2
1417964730.58;66;1;403.5
1417964790.58;1;3;538427754
1417964790.58;30;1;1
1417964790.58;66;1;254.5
1417964838.733;58;2;1
1417964850.731;1;3;538427787
1417964910.879;1;3;538427838
1417964970.99;1;3;538427900
1417965031.062;1;3;538427933
1417965031.191;30;1;1
1417965091.191;1;3;538427968
1417965091.191;30;1;2
1417965119.917;58;2;0
1417965151.293;1;3;538428002
1417965151.293;30;1;1
